date,price,price_index
2021-04-28,133.84072463768115,100.0
2021-04-29,91.79245283018868,68.58
2021-04-30,132.4842857142857,98.99
2021-05-01,507.46500000000003,379.16
2021-05-02,85.05901098901099,63.55
2021-05-03,74.13142857142857,55.39
2021-05-04,74.61101123595506,55.75
2021-05-05,77.25755555555556,57.72
2021-05-06,78.55044943820225,58.69
2021-05-07,103.15364583333333,77.07
2021-05-08,96.10157894736842,71.8
2021-05-09,68.25347826086956,51.0
2021-05-10,68.8010909090909,51.41
2021-05-11,72.56941176470588,54.22
2021-05-12,79.70288461538462,59.55
2021-05-13,91.0907,68.06
2021-05-14,116.12704761904762,86.77
2021-05-15,73.28175925925926,54.75
2021-05-16,82.72703125,61.81
2021-05-17,90.09184466019417,67.31
2021-05-18,58.6821359223301,43.84
2021-05-19,110.44385964912281,82.52
2021-05-20,78.4747572815534,58.63
2021-05-21,130.48274725274726,97.49
2021-05-22,115.35548387096773,86.19
2021-05-23,121.49042105263158,90.77
2021-05-24,82.84824742268042,61.9
2021-05-25,68.73020408163266,51.35
2021-05-26,92.10125,68.81
2021-05-27,103.95833333333333,77.67
2021-05-28,144.82357798165137,108.21
2021-05-29,130.14291262135922,97.24
2021-05-30,75.834,56.66
2021-05-31,80.89747663551402,60.44
2021-06-01,84.65371134020619,63.25
2021-06-02,79.49638888888889,59.4
2021-06-03,132.63155339805826,99.1
2021-06-04,106.14274725274726,79.31
2021-06-05,92.42474226804124,69.06
2021-06-06,91.678,68.5
2021-06-07,75.86803571428571,56.69
2021-06-08,79.60043478260869,59.47
2021-06-09,78.34529411764706,58.54
2021-06-10,64.85625,48.46
2021-06-11,110.74732558139536,82.75
2021-06-12,79.84071428571428,59.65
2021-06-13,106.61319999999999,79.66
2021-06-14,107.67414893617023,80.45
2021-06-15,68.1825,50.94
2021-06-16,87.70366336633663,65.53
2021-06-17,99.79079207920793,74.56
2021-06-18,70.85142857142857,52.94
2021-06-19,102.06521739130434,76.26
2021-06-20,109.40010204081632,81.74
2021-06-21,58.72354838709678,43.88
2021-06-22,95.67505617977528,71.48
2021-06-23,113.83263636363637,85.05
2021-06-24,55.76744680851064,41.67
2021-06-25,71.26268817204301,53.24
2021-06-26,94.1492156862745,70.34
2021-06-27,88.90557894736843,66.43
2021-06-28,84.62373913043479,63.23
2021-06-29,105.70780701754387,78.98
2021-06-30,86.28177083333333,64.47
2021-07-01,101.49365384615385,75.83
2021-07-02,93.1142,69.57
2021-07-03,100.45116883116883,75.05
2021-07-04,82.40367346938775,61.57
2021-07-05,95.53184782608696,71.38
2021-07-06,97.91181818181819,73.16
2021-07-07,97.14413043478261,72.58
2021-07-08,68.08917525773195,50.87
2021-07-09,53.97137096774193,40.33
2021-07-10,114.87823529411764,85.83
2021-07-11,86.96042372881355,64.97
2021-07-12,79.98435643564356,59.76
2021-07-13,96.65397959183673,72.22
2021-07-14,76.7510752688172,57.35
2021-07-15,67.7135238095238,50.59
2021-07-16,95.3218918918919,71.22
2021-07-17,70.34705882352941,52.56
2021-07-18,104.31177777777778,77.94
2021-07-19,93.36596774193548,69.76
2021-07-20,100.15893203883496,74.83
2021-07-21,117.31866071428571,87.66
2021-07-22,115.73660550458716,86.47
2021-07-23,72.73166666666667,54.34
2021-07-24,108.33387755102041,80.94
2021-07-25,64.79766355140187,48.41
2021-07-26,62.506551724137935,46.7
2021-07-27,97.12591666666667,72.57
2021-07-28,75.1854945054945,56.18
2021-07-29,105.17686274509803,78.58
2021-07-30,113.68999999999998,84.94
2021-07-31,101.13990654205607,75.57
2021-08-01,65.73425925925926,49.11
2021-08-02,70.94765957446809,53.01
2021-08-03,122.06833333333333,91.2
2021-08-04,155.78644444444444,116.4
2021-08-05,105.1434090909091,78.56
2021-08-06,157.22875,117.47
2021-08-07,209.30476190476188,156.38
2021-08-08,150.53137931034482,112.47
2021-08-09,85.19717391304349,63.66
2021-08-10,148.51478260869567,110.96
2021-08-11,109.67055555555555,81.94
2021-08-12,79.86065217391305,59.67
2021-08-13,106.29608695652173,79.42
2021-08-14,85.5127868852459,63.89
2021-08-15,84.736,63.31
2021-08-16,234.63454545454545,175.31
2021-08-17,108.91838709677418,81.38
2021-08-18,156.9653846153846,117.28
2021-08-19,163.40257142857143,122.09
2021-08-20,95.64820512820513,71.46
2021-08-21,72.12545454545455,53.89
2021-08-22,126.00288888888889,94.14
2021-08-23,140.6822,105.11
2021-08-24,140.3343243243243,104.85
2021-08-25,86.24499999999999,64.44
2021-08-26,81.18795698924731,60.66
2021-08-27,62.19823529411764,46.47
2021-08-28,73.38753846153847,54.83
2021-08-29,132.1582857142857,98.74
2021-08-30,169.00113636363636,126.27
2021-08-31,189.49906976744185,141.59
2021-09-01,103.44039215686274,77.29
2021-09-02,101.66024999999999,75.96
2021-09-03,127.92892857142856,95.58
2021-09-04,78.17911111111111,58.41
2021-09-05,138.65527777777777,103.6
2021-09-06,107.68136363636363,80.45
2021-09-07,174.74470588235295,130.56
2021-09-08,136.03511111111112,101.64
2021-09-09,213.57219512195124,159.57
2021-09-10,256.2772916666667,191.48
2021-09-11,82.45563636363637,61.61
2021-09-12,138.2186,103.27
2021-09-13,66.27893617021277,49.52
2021-09-14,180.16880952380953,134.61
2021-09-15,178.1476470588235,133.1
2021-09-16,140.77515151515152,105.18
2021-09-17,119.828,89.53
2021-09-18,185.5122222222222,138.61
2021-09-19,130.58477272727274,97.57
2021-09-20,151.28486486486486,113.03
2021-09-21,76.72136363636365,57.32
2021-09-22,176.10608695652175,131.58
2021-09-23,125.4875,93.76
2021-09-24,159.27756097560976,119.01
2021-09-25,142.05774193548388,106.14
2021-09-26,143.52513513513514,107.24
2021-09-27,105.56735294117647,78.88
2021-09-28,88.61,66.21
2021-09-29,138.935,103.81
2021-09-30,146.49396226415095,109.45
2021-10-01,129.69666666666666,96.9
2021-10-02,203.98394736842104,152.41
2021-10-03,103.80627906976744,77.56
2021-10-04,164.77275862068964,123.11
2021-10-05,172.74314285714286,129.07
2021-10-06,122.58076923076922,91.59
2021-10-07,84.2565625,62.95
2021-10-08,116.30560975609755,86.9
2021-10-09,151.87549019607843,113.47
2021-10-10,92.57634146341464,69.17
2021-10-11,162.52244897959181,121.43
2021-10-12,264.40681818181815,197.55
2021-10-13,216.58072727272727,161.82
2021-10-14,124.62340425531916,93.11
2021-10-15,105.94938775510205,79.16
2021-10-16,113.2851282051282,84.64
2021-10-17,89.16239130434784,66.62
2021-10-18,125.18471698113207,93.53
2021-10-19,108.13132075471698,80.79
2021-10-20,134.5221052631579,100.51
2021-10-21,104.37388888888889,77.98
2021-10-22,155.29695652173913,116.03
2021-10-23,69.29017857142857,51.77
2021-10-24,99.60040000000001,74.42
2021-10-25,81.51185185185186,60.9
2021-10-26,130.669375,97.63
2021-10-27,106.8766037735849,79.85
2021-10-28,126.9465909090909,94.85
2021-10-29,71.71428571428571,53.58
2021-10-30,87.44095238095238,65.33
2021-10-31,148.33255813953488,110.83
2021-11-01,84.68435897435897,63.27
2021-11-02,96.63433333333334,72.2
2021-11-03,132.6856,99.14
2021-11-04,125.7418,93.95
2021-11-05,88.25491228070175,65.94
2021-11-06,123.90714285714286,92.58
2021-11-07,95.78238095238096,71.56
2021-11-08,154.321,115.3
2021-11-09,152.24148936170212,113.75
2021-11-10,146.39279411764704,109.38
2021-11-18,45.0,33.62
2021-11-21,518.0,387.03
2021-11-24,54.849782608695655,40.98
2021-11-25,86.61444444444444,64.71
2021-11-26,59.909361702127654,44.76
2021-11-27,85.93214285714285,64.2
2021-11-28,73.83815384615386,55.17
2021-11-29,56.76867924528302,42.42
2021-11-30,104.73568181818182,78.25
2021-12-01,90.67372093023255,67.75
2021-12-02,105.70170731707316,78.98
2021-12-03,85.30140350877194,63.73
2021-12-04,60.390263157894736,45.12
2021-12-05,58.583255813953485,43.77
2021-12-06,74.14961538461537,55.4
2021-12-07,81.6063157894737,60.97
2021-12-08,58.38086956521739,43.62
2021-12-09,91.61648148148149,68.45
2021-12-10,114.49630434782608,85.55
2021-12-11,101.9128,76.14
2021-12-12,67.02660377358491,50.08
2021-12-13,87.89951219512196,65.67
2021-12-14,96.31790697674418,71.96
2021-12-15,101.07924528301886,75.52
2021-12-16,158.85892857142858,118.69
2021-12-17,78.48157894736842,58.64
2021-12-18,108.10555555555555,80.77
2021-12-19,110.45473684210526,82.53
2021-12-20,78.63976744186047,58.76
2021-12-21,102.07744680851064,76.27
2021-12-22,53.514,39.98
